SIMILAR|ROWNUM|  %|GETS_PER_ROW|SQL_TEXT                                                                                                         |    COST|HASH_VALUE|
 B     |    35|0.6|  147407.643|select basicinxdt0_.INX_DB_ID as INX1_82_, basicinxdt0_.VERSION_NUM as VERSION2_82_, basicinxdt0_.UPDATING_DATE a|      19|3890826773|
 B     |    36|0.6|  128852.875|select basicinxdt0_.INX_DB_ID as INX1_0_, basicinxdt0_.VERSION_NUM as VERSION2_0_, basicinxdt0_.UPDATING_DATE as |      19|3932986397|
 B     |    37|0.6|       91965|select basicinxdt0_.INX_DB_ID as INX1_18_, basicinxdt0_.VERSION_NUM as VERSION2_18_, basicinxdt0_.UPDATING_DATE a|      19|4217955928|
 B     |    38|0.6|     2022190|select basicinxdt0_.INX_DB_ID as INX1_82_, basicinxdt0_.VERSION_NUM as VERSION2_82_, basicinxdt0_.UPDATING_DATE a|      19| 925737442|
 B     |    39|0.6|    201136.6|select basicinxdt0_.INX_DB_ID as INX1_38_, basicinxdt0_.VERSION_NUM as VERSION2_38_, basicinxdt0_.UPDATING_DATE a|      19|1106645015|
 B     |    40|0.6|     2010210|select basicinxdt0_.INX_DB_ID as INX1_0_, basicinxdt0_.VERSION_NUM as VERSION2_0_, basicinxdt0_.UPDATING_DATE as |      19|3440762880|
 B     |    41|0.6|  142269.857|select basicinxdt0_.INX_DB_ID as INX1_32_, basicinxdt0_.VERSION_NUM as VERSION2_32_, basicinxdt0_.UPDATING_DATE a|      19|3105104281|
 B     |    42|0.6|     99460.7|select basicinxdt0_.INX_DB_ID as INX1_56_, basicinxdt0_.VERSION_NUM as VERSION2_56_, basicinxdt0_.UPDATING_DATE a|      19| 953952828|
 B     |    43|0.6|     1986626|select basicinxdt0_.INX_DB_ID as INX1_18_, basicinxdt0_.VERSION_NUM as VERSION2_18_, basicinxdt0_.UPDATING_DATE a|      19|1871333618|
 B     |    44|0.6|  141209.286|select basicinxdt0_.INX_DB_ID as INX1_9_, basicinxdt0_.VERSION_NUM as VERSION2_9_, basicinxdt0_.UPDATING_DATE as |      19| 977173562|
 B     |    45|0.6|     1969060|select basicinxdt0_.INX_DB_ID as INX1_38_, basicinxdt0_.VERSION_NUM as VERSION2_38_, basicinxdt0_.UPDATING_DATE a|      19|1657168792|
 B     |    46|0.6|  122907.375|select basicinxdt0_.INX_DB_ID as INX1_24_, basicinxdt0_.VERSION_NUM as VERSION2_24_, basicinxdt0_.UPDATING_DATE a|      19|3222203751|
 B     |    47|0.6|     1958142|select basicinxdt0_.INX_DB_ID as INX1_32_, basicinxdt0_.VERSION_NUM as VERSION2_32_, basicinxdt0_.UPDATING_DATE a|      19|2083046571|
 B     |    48|0.6|  122149.625|select basicinxdt0_.INX_DB_ID as INX1_64_, basicinxdt0_.VERSION_NUM as VERSION2_64_, basicinxdt0_.UPDATING_DATE a|      19|2929887640|
 B     |    49|0.6|     1942094|select basicinxdt0_.INX_DB_ID as INX1_56_, basicinxdt0_.VERSION_NUM as VERSION2_56_, basicinxdt0_.UPDATING_DATE a|      19|1145577890|
 B     |    50|0.6|   161483.25|select basicinxdt0_.INX_DB_ID as INX1_26_, basicinxdt0_.VERSION_NUM as VERSION2_26_, basicinxdt0_.UPDATING_DATE a|      19|3138183932|
