 INFO[2008-01-21 13:03:17,182] org.hibernate.cfg.Environment - Hibernate 3.2.0
 DEBUG[2008-01-21 13:03:20,346] org.hibernate.cfg.reveng.JDBCReader - Adding table UFFICIO of type TABLE
 DEBUG[2008-01-21 13:03:20,347] org.hibernate.cfg.reveng.JDBCReader - Adding table UFFICIO_ESTERO of type TABLE
 DEBUG[2008-01-21 13:03:20,347] org.hibernate.cfg.reveng.JDBCReader - Adding table UFFICIO_ESTERO_PROTOCOLLO of type TABLE
 DEBUG[2008-01-21 13:03:20,347] org.hibernate.cfg.reveng.JDBCReader - Adding table UFFICIO_ESTERO_PROTOCOLLO_HIS of type TABLE
 DEBUG[2008-01-21 13:03:20,347] org.hibernate.cfg.reveng.JDBCReader - Adding table UFFICIO_PROTOCOLLO of type TABLE
 DEBUG[2008-01-21 13:03:20,348] org.hibernate.cfg.reveng.JDBCReader - Adding table UFFICIO_PROTOCOLLO_HIS of type TABLE
 DEBUG[2008-01-21 13:03:20,349] org.hibernate.cfg.reveng.JDBCReader - Adding table UTENTE of type TABLE
 DEBUG[2008-01-21 13:03:20,349] org.hibernate.cfg.reveng.JDBCReader - Adding table UTENTE_PROFILO of type TABLE
 DEBUG[2008-01-21 13:03:20,349] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.ARCHIVIO
 DEBUG[2008-01-21 13:03:20,349] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.ARCHIVIO.null)
 DEBUG[2008-01-21 13:03:20,455] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.ARCHIVIO)
 DEBUG[2008-01-21 13:03:21,597] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.ARCHIVIO) -> org.hibernate.mapping.PrimaryKey(ARCHIVIO[org.hibernate.mapping.Column(ID)]) as ARCHIVIO_PK
 DEBUG[2008-01-21 13:03:21,598] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.ARCHIVIO)
 DEBUG[2008-01-21 13:03:23,533] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.CATEGORIA
 DEBUG[2008-01-21 13:03:23,534] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.CATEGORIA.null)
 DEBUG[2008-01-21 13:03:23,585] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.CATEGORIA)
 DEBUG[2008-01-21 13:03:23,605] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.CATEGORIA) -> org.hibernate.mapping.PrimaryKey(CATEGORIA[org.hibernate.mapping.Column(ID)]) as CATEGORIA_PK
 DEBUG[2008-01-21 13:03:23,607] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.CATEGORIA)
 DEBUG[2008-01-21 13:03:24,945] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.DOCUMENTO
 DEBUG[2008-01-21 13:03:24,946] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.DOCUMENTO.null)
 DEBUG[2008-01-21 13:03:24,982] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.DOCUMENTO)
 DEBUG[2008-01-21 13:03:25,005] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.DOCUMENTO) -> org.hibernate.mapping.PrimaryKey(DOCUMENTO[org.hibernate.mapping.Column(ID)]) as DOCUMENTO_PK
 DEBUG[2008-01-21 13:03:25,010] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.DOCUMENTO)
 DEBUG[2008-01-21 13:03:26,278] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.LEGAME
 DEBUG[2008-01-21 13:03:26,278] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.LEGAME.null)
 DEBUG[2008-01-21 13:03:26,316] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.LEGAME)
 DEBUG[2008-01-21 13:03:26,336] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.LEGAME) -> org.hibernate.mapping.PrimaryKey(LEGAME[org.hibernate.mapping.Column(ID)]) as LEGAME_PK
 DEBUG[2008-01-21 13:03:26,336] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.LEGAME)
 DEBUG[2008-01-21 13:03:27,685] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.LEGAME_PROTOCOLLO
 DEBUG[2008-01-21 13:03:27,686] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.LEGAME_PROTOCOLLO.null)
 DEBUG[2008-01-21 13:03:27,697] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.LEGAME_PROTOCOLLO)
 DEBUG[2008-01-21 13:03:27,717] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.LEGAME_PROTOCOLLO) -> org.hibernate.mapping.PrimaryKey(LEGAME_PROTOCOLLO[org.hibernate.mapping.Column(LEGAME_ID), org.hibernate.mapping.Column(PROTOCOLLO_ID)]) as LEGAME_PROTOCOLLO_PK
 DEBUG[2008-01-21 13:03:27,717] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.LEGAME_PROTOCOLLO)
 DEBUG[2008-01-21 13:03:28,886] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.LEGAME_PROTOCOLLO_HIS
 DEBUG[2008-01-21 13:03:28,887] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.LEGAME_PROTOCOLLO_HIS.null)
 DEBUG[2008-01-21 13:03:28,897] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.LEGAME_PROTOCOLLO_HIS)
 DEBUG[2008-01-21 13:03:28,916] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.LEGAME_PROTOCOLLO_HIS) -> org.hibernate.mapping.PrimaryKey(LEGAME_PROTOCOLLO_HIS[org.hibernate.mapping.Column(LEGAME_ID), org.hibernate.mapping.Column(PROTOCOLLO_HIS_ID)]) as LEGAME_PROTOCOLLO_HIS_PK
 DEBUG[2008-01-21 13:03:28,916] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.LEGAME_PROTOCOLLO_HIS)
 DEBUG[2008-01-21 13:03:30,275] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.MITTENTE
 DEBUG[2008-01-21 13:03:30,277] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.MITTENTE.null)
 DEBUG[2008-01-21 13:03:30,319] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.MITTENTE)
 DEBUG[2008-01-21 13:03:30,324] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.MITTENTE) -> org.hibernate.mapping.PrimaryKey(MITTENTE[org.hibernate.mapping.Column(ID)]) as MITTENTE_PK
 DEBUG[2008-01-21 13:03:30,324] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.MITTENTE)
 DEBUG[2008-01-21 13:03:31,536] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.PROFILO
 DEBUG[2008-01-21 13:03:31,537] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.PROFILO.null)
 DEBUG[2008-01-21 13:03:31,561] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.PROFILO)
 DEBUG[2008-01-21 13:03:31,576] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.PROFILO) -> org.hibernate.mapping.PrimaryKey(PROFILO[org.hibernate.mapping.Column(ID)]) as PROFILO_PK
 DEBUG[2008-01-21 13:03:31,576] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.PROFILO)
 DEBUG[2008-01-21 13:03:32,786] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.PROTOCOLLO
 DEBUG[2008-01-21 13:03:32,786] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.PROTOCOLLO.null)
 DEBUG[2008-01-21 13:03:32,891] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.PROTOCOLLO)
 DEBUG[2008-01-21 13:03:32,896] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.PROTOCOLLO) -> org.hibernate.mapping.PrimaryKey(PROTOCOLLO[org.hibernate.mapping.Column(ID)]) as PROTOCOLLO_PK
 DEBUG[2008-01-21 13:03:32,896] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.PROTOCOLLO)
 DEBUG[2008-01-21 13:03:34,114] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.PROTOCOLLO_HIS
 DEBUG[2008-01-21 13:03:34,114] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.PROTOCOLLO_HIS.null)
 DEBUG[2008-01-21 13:03:34,201] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.PROTOCOLLO_HIS)
 DEBUG[2008-01-21 13:03:34,205] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.PROTOCOLLO_HIS) -> org.hibernate.mapping.PrimaryKey(PROTOCOLLO_HIS[org.hibernate.mapping.Column(ID)]) as PROTOCOLLO_HIS_PK
 DEBUG[2008-01-21 13:03:34,205] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.PROTOCOLLO_HIS)
 DEBUG[2008-01-21 13:03:35,459] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.RISERVATEZZA
 DEBUG[2008-01-21 13:03:35,459] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.RISERVATEZZA.null)
 DEBUG[2008-01-21 13:03:35,485] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.RISERVATEZZA)
 DEBUG[2008-01-21 13:03:35,505] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.RISERVATEZZA) -> org.hibernate.mapping.PrimaryKey(RISERVATEZZA[org.hibernate.mapping.Column(ID)]) as RISERVATEZZA_PK
 DEBUG[2008-01-21 13:03:35,506] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.RISERVATEZZA)
 DEBUG[2008-01-21 13:03:36,703] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.UFFICIO
 DEBUG[2008-01-21 13:03:36,704] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO.null)
 DEBUG[2008-01-21 13:03:36,732] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO)
 DEBUG[2008-01-21 13:03:36,750] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.UFFICIO) -> org.hibernate.mapping.PrimaryKey(UFFICIO[org.hibernate.mapping.Column(ID)]) as UFFICIO_PK
 DEBUG[2008-01-21 13:03:36,752] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO)
 DEBUG[2008-01-21 13:03:37,945] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO
 DEBUG[2008-01-21 13:03:37,946] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO.null)
 DEBUG[2008-01-21 13:03:37,978] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO)
 DEBUG[2008-01-21 13:03:37,987] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO) -> org.hibernate.mapping.PrimaryKey(UFFICIO_ESTERO[org.hibernate.mapping.Column(ID)]) as UFFICIO_ESTERO_PK
 DEBUG[2008-01-21 13:03:37,987] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO)
 DEBUG[2008-01-21 13:03:39,023] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO_PROTOCOLLO
 DEBUG[2008-01-21 13:03:39,024] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO_PROTOCOLLO.null)
 DEBUG[2008-01-21 13:03:39,048] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO_PROTOCOLLO)
 DEBUG[2008-01-21 13:03:39,057] org.hibernate.cfg.reveng.JDBCReader - primary key for org.hibernate.mapping.Table(GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO_PROTOCOLLO) -> org.hibernate.mapping.PrimaryKey(UFFICIO_ESTERO_PROTOCOLLO[org.hibernate.mapping.Column(UFFICIO_ESTERNO_ID), org.hibernate.mapping.Column(PROTOCOLLO_ID)]) as UFFICIO_ESTERNO_PROTOCOLLO_PK
 DEBUG[2008-01-21 13:03:39,057] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getIndexInfo(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO_PROTOCOLLO)
 DEBUG[2008-01-21 13:03:40,460] org.hibernate.cfg.reveng.JDBCReader - Finding columns for GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO_PROTOCOLLO_HIS
 DEBUG[2008-01-21 13:03:40,460] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getColumns(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO_PROTOCOLLO_HIS.null)
 DEBUG[2008-01-21 13:03:40,469] org.hibernate.cfg.reveng.dialect.JDBCMetaDataDialect - getPrimaryKeys(null.GESTIONE_PROTOCOLLO_TEST.UFFICIO_ESTERO_PROTOCOLLO_HIS)
