2016-07-10 14:37:47,808 | DEBUG | nager@51ec9728/0 | SelectorManager                  | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Queued change org.eclipse.jetty.io.SelectChannelEndPoint$1@2f2f04da
2016-07-10 14:37:47,809 | DEBUG | nager@51ec9728/0 | AbstractConnection               | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | FILL_INTERESTED-->FILLING HttpConnection@7249d1ef[FILLING,SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,-,-,3/30000,HttpConnection}{io=0,kio=0,kro=1}][p=HttpParser{s=START,0 of 0},g=HttpGenerator{s=START},c=HttpChannelOverHttp@e675a4{r=0,c=false,a=IDLE,uri=}]
2016-07-10 14:37:47,809 | DEBUG | nager@51ec9728/0 | SelectorManager                  | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Running change org.eclipse.jetty.io.SelectChannelEndPoint$1@2f2f04da
2016-07-10 14:37:47,809 | DEBUG | nager@51ec9728/0 | SelectorManager                  | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | Selector loop waiting on select
2016-07-10 14:37:47,810 | DEBUG | tp2121602258-233 | HttpConnection                   | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HttpConnection@7249d1ef[FILLING,SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,-,-,5/30000,HttpConnection}{io=0,kio=0,kro=1}][p=HttpParser{s=START,0 of 0},g=HttpGenerator{s=START},c=HttpChannelOverHttp@e675a4{r=0,c=false,a=IDLE,uri=}] onFillable HttpChannelState@6b3b883b{s=IDLE i=true a=null}
2016-07-10 14:37:47,813 | DEBUG | tp2121602258-233 | ChannelEndPoint                  | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | filled 504 SelectChannelEndPoint@4153b7bc{/0:0:0:0:0:0:0:1:55227<->8181,Open,in,out,-,-,8/30000,HttpConnection}{io=0,kio=0,kro=1}
2016-07-10 14:37:47,813 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | parseNext s=START HeapByteBuffer@479402fb[p=0,l=504,c=8192,r=504]={<<<GET /tasklist?add...7B8D241F2F7\r\n\r\n>>>\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00...\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00}
2016-07-10 14:37:47,814 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | START --> SPACE1
2016-07-10 14:37:47,815 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | SPACE1 --> URI
2016-07-10 14:37:47,815 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | URI --> SPACE2
2016-07-10 14:37:47,815 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | SPACE2 --> REQUEST_VERSION
2016-07-10 14:37:47,815 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | REQUEST_VERSION --> HEADER
2016-07-10 14:37:47,816 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_VALUE
2016-07-10 14:37:47,816 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_VALUE --> HEADER_IN_VALUE
2016-07-10 14:37:47,816 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:37:47,818 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_IN_VALUE
2016-07-10 14:37:47,818 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:37:47,818 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_VALUE
2016-07-10 14:37:47,818 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_VALUE --> HEADER_IN_VALUE
2016-07-10 14:37:47,818 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:37:47,819 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_VALUE
2016-07-10 14:37:47,819 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_VALUE --> HEADER_IN_VALUE
2016-07-10 14:37:47,819 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:37:47,819 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_IN_VALUE
2016-07-10 14:37:47,819 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
2016-07-10 14:37:47,819 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER --> HEADER_IN_NAME
2016-07-10 14:37:47,819 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_NAME --> HEADER_VALUE
2016-07-10 14:37:47,819 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_VALUE --> HEADER_IN_VALUE
2016-07-10 14:37:47,819 | DEBUG | tp2121602258-233 | HttpParser                       | 104 - org.eclipse.jetty.util - 9.2.15.v20160210 | HEADER_IN_VALUE --> HEADER
